/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 19.0 | Polciy Loss: 0.696901261806488 | Steps: 19
Episode: 2 | Reward: 12.0 | Polciy Loss: 0.6924804449081421 | Steps: 31
Episode: 3 | Reward: 31.0 | Polciy Loss: 0.6904946565628052 | Steps: 62
Episode: 4 | Reward: 18.0 | Polciy Loss: 0.6940305829048157 | Steps: 80
Episode: 5 | Reward: 22.0 | Polciy Loss: 0.6916590929031372 | Steps: 102
Episode: 6 | Reward: 20.0 | Polciy Loss: 0.6914792656898499 | Steps: 122
Episode: 7 | Reward: 14.0 | Polciy Loss: 0.692878246307373 | Steps: 136
Episode: 8 | Reward: 21.0 | Polciy Loss: 0.6918604969978333 | Steps: 157
Episode: 9 | Reward: 16.0 | Polciy Loss: 0.6919706463813782 | Steps: 173
Episode: 10 | Reward: 23.0 | Polciy Loss: 0.6919691562652588 | Steps: 196
Episode: 11 | Reward: 13.0 | Polciy Loss: 0.6919228434562683 | Steps: 209
Episode: 12 | Reward: 31.0 | Polciy Loss: 0.6925976276397705 | Steps: 240
Episode: 13 | Reward: 13.0 | Polciy Loss: 0.6921825408935547 | Steps: 253
Episode: 14 | Reward: 19.0 | Polciy Loss: 0.692074179649353 | Steps: 272
Episode: 15 | Reward: 13.0 | Polciy Loss: 0.689968466758728 | Steps: 285
Episode: 16 | Reward: 17.0 | Polciy Loss: 0.691477358341217 | Steps: 302
Episode: 17 | Reward: 24.0 | Polciy Loss: 0.6911735534667969 | Steps: 326
Episode: 18 | Reward: 50.0 | Polciy Loss: 0.6922762393951416 | Steps: 376
Episode: 19 | Reward: 19.0 | Polciy Loss: 0.691923975944519 | Steps: 395
Episode: 20 | Reward: 13.0 | Polciy Loss: 0.6923123002052307 | Steps: 408
Episode: 21 | Reward: 15.0 | Polciy Loss: 0.6937272548675537 | Steps: 423
Episode: 22 | Reward: 42.0 | Polciy Loss: 0.6941868662834167 | Steps: 465
Episode: 23 | Reward: 18.0 | Polciy Loss: 0.6967265605926514 | Steps: 483
Episode: 24 | Reward: 18.0 | Polciy Loss: 0.692676305770874 | Steps: 501
Episode: 25 | Reward: 12.0 | Polciy Loss: 0.6926229596138 | Steps: 513
Episode: 26 | Reward: 10.0 | Polciy Loss: 0.692171573638916 | Steps: 523
Episode: 27 | Reward: 14.0 | Polciy Loss: 0.6946747899055481 | Steps: 537
Episode: 28 | Reward: 13.0 | Polciy Loss: 0.693082332611084 | Steps: 550
Episode: 29 | Reward: 42.0 | Polciy Loss: 0.6923749446868896 | Steps: 592
Episode: 30 | Reward: 22.0 | Polciy Loss: 0.6928334832191467 | Steps: 614
Episode: 31 | Reward: 11.0 | Polciy Loss: 0.6912210583686829 | Steps: 625
Episode: 32 | Reward: 39.0 | Polciy Loss: 0.691433846950531 | Steps: 664
Episode: 33 | Reward: 11.0 | Polciy Loss: 0.6907265186309814 | Steps: 675
Episode: 34 | Reward: 11.0 | Polciy Loss: 0.6942519545555115 | Steps: 686
Episode: 35 | Reward: 11.0 | Polciy Loss: 0.6918880939483643 | Steps: 697
Episode: 36 | Reward: 25.0 | Polciy Loss: 0.69095778465271 | Steps: 722
Episode: 37 | Reward: 41.0 | Polciy Loss: 0.6929931640625 | Steps: 763
Episode: 38 | Reward: 36.0 | Polciy Loss: 0.6910082697868347 | Steps: 799
Episode: 39 | Reward: 21.0 | Polciy Loss: 0.6921632289886475 | Steps: 820
Episode: 40 | Reward: 24.0 | Polciy Loss: 0.6894344687461853 | Steps: 844
Episode: 41 | Reward: 21.0 | Polciy Loss: 0.6943811178207397 | Steps: 865
Episode: 42 | Reward: 10.0 | Polciy Loss: 0.6905868053436279 | Steps: 875
Episode: 43 | Reward: 14.0 | Polciy Loss: 0.6903168559074402 | Steps: 889
Episode: 44 | Reward: 12.0 | Polciy Loss: 0.6877421140670776 | Steps: 901
Episode: 45 | Reward: 14.0 | Polciy Loss: 0.6908491253852844 | Steps: 915
Episode: 46 | Reward: 22.0 | Polciy Loss: 0.6905313730239868 | Steps: 937
Episode: 47 | Reward: 23.0 | Polciy Loss: 0.6881272792816162 | Steps: 960
Episode: 48 | Reward: 21.0 | Polciy Loss: 0.6867052316665649 | Steps: 981
Episode: 49 | Reward: 23.0 | Polciy Loss: 0.6901862621307373 | Steps: 1004
Episode: 50 | Reward: 55.0 | Polciy Loss: 0.6892165541648865 | Steps: 1059
Episode: 51 | Reward: 49.0 | Polciy Loss: 0.689954400062561 | Steps: 1108
Episode: 52 | Reward: 16.0 | Polciy Loss: 0.6870549917221069 | Steps: 1124
Episode: 53 | Reward: 23.0 | Polciy Loss: 0.6875866055488586 | Steps: 1147
Episode: 54 | Reward: 26.0 | Polciy Loss: 0.6900827884674072 | Steps: 1173
Episode: 55 | Reward: 15.0 | Polciy Loss: 0.6899938583374023 | Steps: 1188
Episode: 56 | Reward: 39.0 | Polciy Loss: 0.6871501207351685 | Steps: 1227
Episode: 57 | Reward: 16.0 | Polciy Loss: 0.684211254119873 | Steps: 1243
Episode: 58 | Reward: 21.0 | Polciy Loss: 0.6860219240188599 | Steps: 1264
Episode: 59 | Reward: 17.0 | Polciy Loss: 0.6902408599853516 | Steps: 1281
Episode: 60 | Reward: 17.0 | Polciy Loss: 0.6889253258705139 | Steps: 1298
Episode: 61 | Reward: 13.0 | Polciy Loss: 0.6859954595565796 | Steps: 1311
Episode: 62 | Reward: 28.0 | Polciy Loss: 0.6833866834640503 | Steps: 1339
Episode: 63 | Reward: 28.0 | Polciy Loss: 0.6864264607429504 | Steps: 1367
Episode: 64 | Reward: 34.0 | Polciy Loss: 0.6840794086456299 | Steps: 1401
Episode: 65 | Reward: 13.0 | Polciy Loss: 0.6846240758895874 | Steps: 1414
Episode: 66 | Reward: 8.0 | Polciy Loss: 0.6869583129882812 | Steps: 1422
Episode: 67 | Reward: 32.0 | Polciy Loss: 0.6803748607635498 | Steps: 1454
Episode: 68 | Reward: 27.0 | Polciy Loss: 0.6869848370552063 | Steps: 1481
Episode: 69 | Reward: 13.0 | Polciy Loss: 0.6839799880981445 | Steps: 1494
Episode: 70 | Reward: 28.0 | Polciy Loss: 0.6860584020614624 | Steps: 1522
Episode: 71 | Reward: 24.0 | Polciy Loss: 0.6836232542991638 | Steps: 1546
Episode: 72 | Reward: 19.0 | Polciy Loss: 0.6805362701416016 | Steps: 1565
Episode: 73 | Reward: 44.0 | Polciy Loss: 0.6824506521224976 | Steps: 1609
Episode: 74 | Reward: 20.0 | Polciy Loss: 0.6827116012573242 | Steps: 1629
Episode: 75 | Reward: 25.0 | Polciy Loss: 0.6842691898345947 | Steps: 1654
Episode: 76 | Reward: 17.0 | Polciy Loss: 0.6838867664337158 | Steps: 1671
Episode: 77 | Reward: 24.0 | Polciy Loss: 0.6821512579917908 | Steps: 1695
Episode: 78 | Reward: 35.0 | Polciy Loss: 0.6834770441055298 | Steps: 1730
Episode: 79 | Reward: 19.0 | Polciy Loss: 0.6842581033706665 | Steps: 1749
Episode: 80 | Reward: 20.0 | Polciy Loss: 0.6806827187538147 | Steps: 1769
Episode: 81 | Reward: 25.0 | Polciy Loss: 0.6808387041091919 | Steps: 1794
Episode: 82 | Reward: 13.0 | Polciy Loss: 0.6849225759506226 | Steps: 1807
Episode: 83 | Reward: 36.0 | Polciy Loss: 0.6840595602989197 | Steps: 1843
Episode: 84 | Reward: 23.0 | Polciy Loss: 0.6837218403816223 | Steps: 1866
