/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 27.0 | Polciy Loss: 0.6941982507705688 | Steps: 27
Episode: 2 | Reward: 12.0 | Polciy Loss: 0.6879739761352539 | Steps: 39
Episode: 3 | Reward: 26.0 | Polciy Loss: 0.6901532411575317 | Steps: 65
Episode: 4 | Reward: 18.0 | Polciy Loss: 0.6926891803741455 | Steps: 83
Episode: 5 | Reward: 22.0 | Polciy Loss: 0.6850408315658569 | Steps: 105
Episode: 6 | Reward: 11.0 | Polciy Loss: 0.692650556564331 | Steps: 116
Episode: 7 | Reward: 23.0 | Polciy Loss: 0.6886784434318542 | Steps: 139
Episode: 8 | Reward: 30.0 | Polciy Loss: 0.6910219788551331 | Steps: 169
Episode: 9 | Reward: 41.0 | Polciy Loss: 0.6924922466278076 | Steps: 210
Episode: 10 | Reward: 19.0 | Polciy Loss: 0.6950607299804688 | Steps: 229
Episode: 11 | Reward: 13.0 | Polciy Loss: 0.6914694905281067 | Steps: 242
Episode: 12 | Reward: 15.0 | Polciy Loss: 0.6939383149147034 | Steps: 257
Episode: 13 | Reward: 18.0 | Polciy Loss: 0.6925570368766785 | Steps: 275
Episode: 14 | Reward: 22.0 | Polciy Loss: 0.6920982599258423 | Steps: 297
Episode: 15 | Reward: 21.0 | Polciy Loss: 0.6881022453308105 | Steps: 318
Episode: 16 | Reward: 19.0 | Polciy Loss: 0.6960568428039551 | Steps: 337
Episode: 17 | Reward: 11.0 | Polciy Loss: 0.6925444602966309 | Steps: 348
Episode: 18 | Reward: 17.0 | Polciy Loss: 0.6920722723007202 | Steps: 365
Episode: 19 | Reward: 32.0 | Polciy Loss: 0.6934359073638916 | Steps: 397
Episode: 20 | Reward: 12.0 | Polciy Loss: 0.6948447227478027 | Steps: 409
Episode: 21 | Reward: 10.0 | Polciy Loss: 0.6902679800987244 | Steps: 419
Episode: 22 | Reward: 13.0 | Polciy Loss: 0.6929244995117188 | Steps: 432
Episode: 23 | Reward: 57.0 | Polciy Loss: 0.6900761127471924 | Steps: 489
Episode: 24 | Reward: 18.0 | Polciy Loss: 0.6909315586090088 | Steps: 507
Episode: 25 | Reward: 27.0 | Polciy Loss: 0.6912941932678223 | Steps: 534
Episode: 26 | Reward: 17.0 | Polciy Loss: 0.7021284103393555 | Steps: 551
Episode: 27 | Reward: 46.0 | Polciy Loss: 0.6892849206924438 | Steps: 597
Episode: 28 | Reward: 24.0 | Polciy Loss: 0.6919187307357788 | Steps: 621
Episode: 29 | Reward: 23.0 | Polciy Loss: 0.6849824786186218 | Steps: 644
Episode: 30 | Reward: 17.0 | Polciy Loss: 0.6890220046043396 | Steps: 661
Episode: 31 | Reward: 34.0 | Polciy Loss: 0.6876522302627563 | Steps: 695
Episode: 32 | Reward: 24.0 | Polciy Loss: 0.6944580078125 | Steps: 719
Episode: 33 | Reward: 25.0 | Polciy Loss: 0.6908208727836609 | Steps: 744
Episode: 34 | Reward: 18.0 | Polciy Loss: 0.6910014152526855 | Steps: 762
Episode: 35 | Reward: 33.0 | Polciy Loss: 0.6890723705291748 | Steps: 795
