2021-10-24 22:19:30,248 INFO    MainThread:253505 [wandb_setup.py:_flush():70] setting env: {}
2021-10-24 22:19:30,249 INFO    MainThread:253505 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-10-24 22:19:30,249 INFO    MainThread:253505 [wandb_setup.py:_flush():70] setting login settings: {}
2021-10-24 22:19:30,249 INFO    MainThread:253505 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211024_221930-3hhhu9jt/logs/debug.log
2021-10-24 22:19:30,249 INFO    MainThread:253505 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211024_221930-3hhhu9jt/logs/debug-internal.log
2021-10-24 22:19:31,322 INFO    MainThread:253505 [wandb_run.py:_console_start():1218] atexit reg
2021-10-24 22:19:31,323 INFO    MainThread:253505 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-10-24 22:19:31,323 INFO    MainThread:253505 [wandb_run.py:_redirect():1088] Redirecting console.
2021-10-24 22:19:31,323 INFO    MainThread:253505 [redirect.py:install():204] install start
2021-10-24 22:19:31,324 INFO    MainThread:253505 [redirect.py:install():219] install stop
2021-10-24 22:19:31,324 INFO    MainThread:253505 [redirect.py:install():204] install start
2021-10-24 22:19:31,324 INFO    MainThread:253505 [redirect.py:install():219] install stop
2021-10-24 22:19:31,324 INFO    MainThread:253505 [wandb_run.py:_redirect():1132] Redirects installed.
2021-10-24 22:19:35,591 INFO    MainThread:253505 [wandb_watch.py:watch():35] Watching
2021-10-24 22:19:35,768 INFO    MainThread:253505 [wandb_run.py:finish():912] finishing run sebastian-dittert/IQL/3hhhu9jt
