2021-10-24 22:22:05,692 INFO    MainThread:254344 [wandb_setup.py:_flush():70] setting env: {}
2021-10-24 22:22:05,693 INFO    MainThread:254344 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-10-24 22:22:05,693 INFO    MainThread:254344 [wandb_setup.py:_flush():70] setting login settings: {}
2021-10-24 22:22:05,693 INFO    MainThread:254344 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211024_222205-cp8dbuwv/logs/debug.log
2021-10-24 22:22:05,693 INFO    MainThread:254344 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211024_222205-cp8dbuwv/logs/debug-internal.log
2021-10-24 22:22:06,739 INFO    MainThread:254344 [wandb_run.py:_console_start():1218] atexit reg
2021-10-24 22:22:06,740 INFO    MainThread:254344 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-10-24 22:22:06,740 INFO    MainThread:254344 [wandb_run.py:_redirect():1088] Redirecting console.
2021-10-24 22:22:06,740 INFO    MainThread:254344 [redirect.py:install():204] install start
2021-10-24 22:22:06,741 INFO    MainThread:254344 [redirect.py:install():219] install stop
2021-10-24 22:22:06,741 INFO    MainThread:254344 [redirect.py:install():204] install start
2021-10-24 22:22:06,741 INFO    MainThread:254344 [redirect.py:install():219] install stop
2021-10-24 22:22:06,741 INFO    MainThread:254344 [wandb_run.py:_redirect():1132] Redirects installed.
2021-10-24 22:22:09,000 INFO    MainThread:254344 [wandb_watch.py:watch():35] Watching
2021-10-24 22:22:17,425 INFO    MainThread:254344 [wandb_run.py:finish():912] finishing run sebastian-dittert/IQL/cp8dbuwv
