/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 21.0 | Polciy Loss: 0.6977664232254028 | Steps: 21
Episode: 2 | Reward: 12.0 | Polciy Loss: 0.6900026202201843 | Steps: 33
Episode: 3 | Reward: 23.0 | Polciy Loss: 0.6919847726821899 | Steps: 56
Episode: 4 | Reward: 13.0 | Polciy Loss: 0.6918030977249146 | Steps: 69
Episode: 5 | Reward: 13.0 | Polciy Loss: 0.6917344331741333 | Steps: 82
Episode: 6 | Reward: 21.0 | Polciy Loss: 0.6918797492980957 | Steps: 103
Episode: 7 | Reward: 19.0 | Polciy Loss: 0.6899253129959106 | Steps: 122
Episode: 8 | Reward: 24.0 | Polciy Loss: 0.6919623613357544 | Steps: 146
Episode: 9 | Reward: 14.0 | Polciy Loss: 0.6911425590515137 | Steps: 160
Episode: 10 | Reward: 11.0 | Polciy Loss: 0.692157506942749 | Steps: 171
Episode: 11 | Reward: 15.0 | Polciy Loss: 0.6921299695968628 | Steps: 186
Episode: 12 | Reward: 20.0 | Polciy Loss: 0.691544771194458 | Steps: 206
Episode: 13 | Reward: 14.0 | Polciy Loss: 0.6909850835800171 | Steps: 220
Episode: 14 | Reward: 48.0 | Polciy Loss: 0.69203120470047 | Steps: 268
Episode: 15 | Reward: 10.0 | Polciy Loss: 0.6931231021881104 | Steps: 278
Episode: 16 | Reward: 66.0 | Polciy Loss: 0.6912973523139954 | Steps: 344
Episode: 17 | Reward: 27.0 | Polciy Loss: 0.6924993991851807 | Steps: 371
Episode: 18 | Reward: 15.0 | Polciy Loss: 0.6930739283561707 | Steps: 386
Episode: 19 | Reward: 15.0 | Polciy Loss: 0.6917923092842102 | Steps: 401
Episode: 20 | Reward: 33.0 | Polciy Loss: 0.6919941902160645 | Steps: 434
Episode: 21 | Reward: 21.0 | Polciy Loss: 0.6933634281158447 | Steps: 455
Episode: 22 | Reward: 11.0 | Polciy Loss: 0.6927393674850464 | Steps: 466
Episode: 23 | Reward: 14.0 | Polciy Loss: 0.6931123733520508 | Steps: 480
Episode: 24 | Reward: 23.0 | Polciy Loss: 0.6915248036384583 | Steps: 503
Episode: 25 | Reward: 16.0 | Polciy Loss: 0.6932170987129211 | Steps: 519
Episode: 26 | Reward: 21.0 | Polciy Loss: 0.6932191848754883 | Steps: 540
Episode: 27 | Reward: 18.0 | Polciy Loss: 0.6910545825958252 | Steps: 558
Episode: 28 | Reward: 14.0 | Polciy Loss: 0.6914471983909607 | Steps: 572
Episode: 29 | Reward: 18.0 | Polciy Loss: 0.6915948390960693 | Steps: 590
Episode: 30 | Reward: 14.0 | Polciy Loss: 0.6910668611526489 | Steps: 604
Episode: 31 | Reward: 17.0 | Polciy Loss: 0.6907714605331421 | Steps: 621
Episode: 32 | Reward: 17.0 | Polciy Loss: 0.6910711526870728 | Steps: 638
Episode: 33 | Reward: 26.0 | Polciy Loss: 0.6891559958457947 | Steps: 664
Episode: 34 | Reward: 11.0 | Polciy Loss: 0.6907755732536316 | Steps: 675
Episode: 35 | Reward: 10.0 | Polciy Loss: 0.68980872631073 | Steps: 685
Episode: 36 | Reward: 20.0 | Polciy Loss: 0.6897790431976318 | Steps: 705
Episode: 37 | Reward: 20.0 | Polciy Loss: 0.6927310228347778 | Steps: 725
Episode: 38 | Reward: 34.0 | Polciy Loss: 0.6912237405776978 | Steps: 759
Episode: 39 | Reward: 21.0 | Polciy Loss: 0.6901708841323853 | Steps: 780
Episode: 40 | Reward: 23.0 | Polciy Loss: 0.6848282814025879 | Steps: 803
Episode: 41 | Reward: 44.0 | Polciy Loss: 0.6897966265678406 | Steps: 847
Episode: 42 | Reward: 14.0 | Polciy Loss: 0.6911073327064514 | Steps: 861
Episode: 43 | Reward: 17.0 | Polciy Loss: 0.6881732940673828 | Steps: 878
Episode: 44 | Reward: 11.0 | Polciy Loss: 0.6867521405220032 | Steps: 889
Episode: 45 | Reward: 11.0 | Polciy Loss: 0.6898510456085205 | Steps: 900
Episode: 46 | Reward: 15.0 | Polciy Loss: 0.6894931793212891 | Steps: 915
