2021-10-25 20:52:20,758 INFO    MainThread:324167 [wandb_setup.py:_flush():70] setting env: {}
2021-10-25 20:52:20,759 INFO    MainThread:324167 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-10-25 20:52:20,759 INFO    MainThread:324167 [wandb_setup.py:_flush():70] setting login settings: {}
2021-10-25 20:52:20,759 INFO    MainThread:324167 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211025_205220-1035xz3q/logs/debug.log
2021-10-25 20:52:20,760 INFO    MainThread:324167 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211025_205220-1035xz3q/logs/debug-internal.log
2021-10-25 20:52:21,924 INFO    MainThread:324167 [wandb_run.py:_console_start():1218] atexit reg
2021-10-25 20:52:21,924 INFO    MainThread:324167 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-10-25 20:52:21,925 INFO    MainThread:324167 [wandb_run.py:_redirect():1088] Redirecting console.
2021-10-25 20:52:21,925 INFO    MainThread:324167 [redirect.py:install():204] install start
2021-10-25 20:52:21,925 INFO    MainThread:324167 [redirect.py:install():219] install stop
2021-10-25 20:52:21,926 INFO    MainThread:324167 [redirect.py:install():204] install start
2021-10-25 20:52:21,926 INFO    MainThread:324167 [redirect.py:install():219] install stop
2021-10-25 20:52:21,926 INFO    MainThread:324167 [wandb_run.py:_redirect():1132] Redirects installed.
2021-10-25 20:52:26,534 INFO    MainThread:324167 [wandb_watch.py:watch():35] Watching
2021-10-25 20:52:26,702 INFO    MainThread:324167 [wandb_run.py:finish():912] finishing run sebastian-dittert/IQL/1035xz3q
