/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 27.0 | Polciy Loss: 0.6937411427497864 | Steps: 27
Episode: 2 | Reward: 13.0 | Polciy Loss: 0.6930955052375793 | Steps: 40
Episode: 3 | Reward: 36.0 | Polciy Loss: 0.6924856901168823 | Steps: 76
Episode: 4 | Reward: 35.0 | Polciy Loss: 0.6923059225082397 | Steps: 111
Episode: 5 | Reward: 15.0 | Polciy Loss: 0.6922681331634521 | Steps: 126
Episode: 6 | Reward: 22.0 | Polciy Loss: 0.6922433972358704 | Steps: 148
Episode: 7 | Reward: 23.0 | Polciy Loss: 0.6918408870697021 | Steps: 171
Episode: 8 | Reward: 15.0 | Polciy Loss: 0.6936287879943848 | Steps: 186
Episode: 9 | Reward: 20.0 | Polciy Loss: 0.692505419254303 | Steps: 206
Episode: 10 | Reward: 13.0 | Polciy Loss: 0.6917712688446045 | Steps: 219
Episode: 11 | Reward: 18.0 | Polciy Loss: 0.6915957927703857 | Steps: 237
Episode: 12 | Reward: 12.0 | Polciy Loss: 0.6911818981170654 | Steps: 249
Episode: 13 | Reward: 15.0 | Polciy Loss: 0.6926709413528442 | Steps: 264
Episode: 14 | Reward: 9.0 | Polciy Loss: 0.6931747794151306 | Steps: 273
Episode: 15 | Reward: 16.0 | Polciy Loss: 0.6917707324028015 | Steps: 289
Episode: 16 | Reward: 42.0 | Polciy Loss: 0.6901360750198364 | Steps: 331
Episode: 17 | Reward: 15.0 | Polciy Loss: 0.694912314414978 | Steps: 346
Episode: 18 | Reward: 26.0 | Polciy Loss: 0.6926685571670532 | Steps: 372
Episode: 19 | Reward: 11.0 | Polciy Loss: 0.6921747922897339 | Steps: 383
Episode: 20 | Reward: 15.0 | Polciy Loss: 0.6919578313827515 | Steps: 398
Episode: 21 | Reward: 14.0 | Polciy Loss: 0.69244384765625 | Steps: 412
Episode: 22 | Reward: 12.0 | Polciy Loss: 0.6910092830657959 | Steps: 424
Episode: 23 | Reward: 32.0 | Polciy Loss: 0.6918843984603882 | Steps: 456
Episode: 24 | Reward: 14.0 | Polciy Loss: 0.6919040679931641 | Steps: 470
Episode: 25 | Reward: 28.0 | Polciy Loss: 0.6963803768157959 | Steps: 498
Episode: 26 | Reward: 21.0 | Polciy Loss: 0.6900840997695923 | Steps: 519
Episode: 27 | Reward: 54.0 | Polciy Loss: 0.6924965381622314 | Steps: 573
Episode: 28 | Reward: 20.0 | Polciy Loss: 0.689133882522583 | Steps: 593
Episode: 29 | Reward: 25.0 | Polciy Loss: 0.6928901672363281 | Steps: 618
Episode: 30 | Reward: 32.0 | Polciy Loss: 0.6903802156448364 | Steps: 650
Episode: 31 | Reward: 21.0 | Polciy Loss: 0.6890721917152405 | Steps: 671
Episode: 32 | Reward: 10.0 | Polciy Loss: 0.6933342814445496 | Steps: 681
Episode: 33 | Reward: 15.0 | Polciy Loss: 0.6925065517425537 | Steps: 696
Episode: 34 | Reward: 31.0 | Polciy Loss: 0.6909533739089966 | Steps: 727
Episode: 35 | Reward: 29.0 | Polciy Loss: 0.6845678091049194 | Steps: 756
Episode: 36 | Reward: 10.0 | Polciy Loss: 0.681613028049469 | Steps: 766
Episode: 37 | Reward: 19.0 | Polciy Loss: 0.6859482526779175 | Steps: 785
Episode: 38 | Reward: 24.0 | Polciy Loss: 0.6874936819076538 | Steps: 809
Episode: 39 | Reward: 10.0 | Polciy Loss: 0.6892744302749634 | Steps: 819
Episode: 40 | Reward: 23.0 | Polciy Loss: 0.6889138221740723 | Steps: 842
Episode: 41 | Reward: 15.0 | Polciy Loss: 0.687989354133606 | Steps: 857
Episode: 42 | Reward: 18.0 | Polciy Loss: 0.6897461414337158 | Steps: 875
Episode: 43 | Reward: 20.0 | Polciy Loss: 0.6889420747756958 | Steps: 895
Episode: 44 | Reward: 14.0 | Polciy Loss: 0.694254457950592 | Steps: 909
Episode: 45 | Reward: 17.0 | Polciy Loss: 0.6887274980545044 | Steps: 926
Episode: 46 | Reward: 12.0 | Polciy Loss: 0.6848418712615967 | Steps: 938
Episode: 47 | Reward: 19.0 | Polciy Loss: 0.6883009672164917 | Steps: 957
Episode: 48 | Reward: 21.0 | Polciy Loss: 0.6890842914581299 | Steps: 978
Episode: 49 | Reward: 17.0 | Polciy Loss: 0.6897270679473877 | Steps: 995
Episode: 50 | Reward: 21.0 | Polciy Loss: 0.692725419998169 | Steps: 1016
Episode: 51 | Reward: 13.0 | Polciy Loss: 0.6861913204193115 | Steps: 1029
Episode: 52 | Reward: 32.0 | Polciy Loss: 0.6866600513458252 | Steps: 1061
Episode: 53 | Reward: 42.0 | Polciy Loss: 0.6875196695327759 | Steps: 1103
Episode: 54 | Reward: 39.0 | Polciy Loss: 0.6861417293548584 | Steps: 1142
Episode: 55 | Reward: 26.0 | Polciy Loss: 0.6858943700790405 | Steps: 1168
Episode: 56 | Reward: 11.0 | Polciy Loss: 0.6872032880783081 | Steps: 1179
Episode: 57 | Reward: 20.0 | Polciy Loss: 0.6848450899124146 | Steps: 1199
