2021-10-25 20:53:00,155 INFO    MainThread:324350 [wandb_setup.py:_flush():70] setting env: {}
2021-10-25 20:53:00,156 INFO    MainThread:324350 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-10-25 20:53:00,156 INFO    MainThread:324350 [wandb_setup.py:_flush():70] setting login settings: {}
2021-10-25 20:53:00,156 INFO    MainThread:324350 [wandb_init.py:_log_setup():303] Logging user logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211025_205300-iz3jdfht/logs/debug.log
2021-10-25 20:53:00,156 INFO    MainThread:324350 [wandb_init.py:_log_setup():304] Logging internal logs to /home/sebastian/Documents/IQL/discrete_iql/wandb/run-20211025_205300-iz3jdfht/logs/debug-internal.log
2021-10-25 20:53:01,252 INFO    MainThread:324350 [wandb_run.py:_console_start():1218] atexit reg
2021-10-25 20:53:01,252 INFO    MainThread:324350 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.REDIRECT
2021-10-25 20:53:01,253 INFO    MainThread:324350 [wandb_run.py:_redirect():1088] Redirecting console.
2021-10-25 20:53:01,253 INFO    MainThread:324350 [redirect.py:install():204] install start
2021-10-25 20:53:01,254 INFO    MainThread:324350 [redirect.py:install():219] install stop
2021-10-25 20:53:01,254 INFO    MainThread:324350 [redirect.py:install():204] install start
2021-10-25 20:53:01,254 INFO    MainThread:324350 [redirect.py:install():219] install stop
2021-10-25 20:53:01,254 INFO    MainThread:324350 [wandb_run.py:_redirect():1132] Redirects installed.
2021-10-25 20:53:03,611 INFO    MainThread:324350 [wandb_watch.py:watch():35] Watching
2021-10-25 20:55:58,353 INFO    MainThread:324350 [wandb_run.py:finish():912] finishing run sebastian-dittert/IQL/iz3jdfht
