/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 27.0 | Polciy Loss: 0.6916826367378235 | Steps: 27
Episode: 2 | Reward: 13.0 | Polciy Loss: 0.6911545991897583 | Steps: 40
Episode: 3 | Reward: 36.0 | Polciy Loss: 0.6909042596817017 | Steps: 76
Episode: 4 | Reward: 35.0 | Polciy Loss: 0.6914916038513184 | Steps: 111
Episode: 5 | Reward: 15.0 | Polciy Loss: 0.6908829212188721 | Steps: 126
Episode: 6 | Reward: 22.0 | Polciy Loss: 0.6909291744232178 | Steps: 148
Episode: 7 | Reward: 23.0 | Polciy Loss: 0.6912356615066528 | Steps: 171
Episode: 8 | Reward: 15.0 | Polciy Loss: 0.6922441720962524 | Steps: 186
Episode: 9 | Reward: 20.0 | Polciy Loss: 0.6919710636138916 | Steps: 206
Episode: 10 | Reward: 13.0 | Polciy Loss: 0.6910645961761475 | Steps: 219
Episode: 11 | Reward: 18.0 | Polciy Loss: 0.6912262439727783 | Steps: 237
Episode: 12 | Reward: 12.0 | Polciy Loss: 0.6905180215835571 | Steps: 249
Episode: 13 | Reward: 15.0 | Polciy Loss: 0.6913528442382812 | Steps: 264
Episode: 14 | Reward: 9.0 | Polciy Loss: 0.6913782358169556 | Steps: 273
Episode: 15 | Reward: 16.0 | Polciy Loss: 0.6902010440826416 | Steps: 289
Episode: 16 | Reward: 42.0 | Polciy Loss: 0.6905055046081543 | Steps: 331
Episode: 17 | Reward: 15.0 | Polciy Loss: 0.6895908117294312 | Steps: 346
Episode: 18 | Reward: 26.0 | Polciy Loss: 0.689513623714447 | Steps: 372
Episode: 19 | Reward: 11.0 | Polciy Loss: 0.6916447281837463 | Steps: 383
Episode: 20 | Reward: 15.0 | Polciy Loss: 0.6870187520980835 | Steps: 398
Episode: 21 | Reward: 14.0 | Polciy Loss: 0.690878689289093 | Steps: 412
Episode: 22 | Reward: 12.0 | Polciy Loss: 0.6901246309280396 | Steps: 424
Episode: 23 | Reward: 32.0 | Polciy Loss: 0.6894968748092651 | Steps: 456
Episode: 24 | Reward: 14.0 | Polciy Loss: 0.6877256631851196 | Steps: 470
Episode: 25 | Reward: 28.0 | Polciy Loss: 0.6915879249572754 | Steps: 498
Episode: 26 | Reward: 21.0 | Polciy Loss: 0.687673807144165 | Steps: 519
Episode: 27 | Reward: 54.0 | Polciy Loss: 0.6882182359695435 | Steps: 573
Episode: 28 | Reward: 20.0 | Polciy Loss: 0.686782717704773 | Steps: 593
Episode: 29 | Reward: 25.0 | Polciy Loss: 0.6845463514328003 | Steps: 618
Episode: 30 | Reward: 32.0 | Polciy Loss: 0.6886916160583496 | Steps: 650
Episode: 31 | Reward: 21.0 | Polciy Loss: 0.6859626770019531 | Steps: 671
Episode: 32 | Reward: 10.0 | Polciy Loss: 0.6853939890861511 | Steps: 681
Episode: 33 | Reward: 15.0 | Polciy Loss: 0.6880494356155396 | Steps: 696
Episode: 34 | Reward: 31.0 | Polciy Loss: 0.6848549842834473 | Steps: 727
Episode: 35 | Reward: 29.0 | Polciy Loss: 0.6854462623596191 | Steps: 756
Episode: 36 | Reward: 10.0 | Polciy Loss: 0.6874940395355225 | Steps: 766
Episode: 37 | Reward: 19.0 | Polciy Loss: 0.6835577487945557 | Steps: 785
Episode: 38 | Reward: 24.0 | Polciy Loss: 0.680944561958313 | Steps: 809
Episode: 39 | Reward: 10.0 | Polciy Loss: 0.6859912872314453 | Steps: 819
Episode: 40 | Reward: 23.0 | Polciy Loss: 0.6864233016967773 | Steps: 842
Episode: 41 | Reward: 15.0 | Polciy Loss: 0.6878639459609985 | Steps: 857
Episode: 42 | Reward: 18.0 | Polciy Loss: 0.685957670211792 | Steps: 875
Episode: 43 | Reward: 20.0 | Polciy Loss: 0.6885288953781128 | Steps: 895
Episode: 44 | Reward: 14.0 | Polciy Loss: 0.6856010556221008 | Steps: 909
Episode: 45 | Reward: 17.0 | Polciy Loss: 0.6873931884765625 | Steps: 926
Episode: 46 | Reward: 12.0 | Polciy Loss: 0.6823225021362305 | Steps: 938
Episode: 47 | Reward: 19.0 | Polciy Loss: 0.6816796064376831 | Steps: 957
Episode: 48 | Reward: 21.0 | Polciy Loss: 0.6817879676818848 | Steps: 978
Episode: 49 | Reward: 17.0 | Polciy Loss: 0.6813526153564453 | Steps: 995
Episode: 50 | Reward: 21.0 | Polciy Loss: 0.6871576309204102 | Steps: 1016
Episode: 51 | Reward: 13.0 | Polciy Loss: 0.6789016723632812 | Steps: 1029
Episode: 52 | Reward: 32.0 | Polciy Loss: 0.6850239634513855 | Steps: 1061
Episode: 53 | Reward: 42.0 | Polciy Loss: 0.6845059394836426 | Steps: 1103
Episode: 54 | Reward: 39.0 | Polciy Loss: 0.676215648651123 | Steps: 1142
Episode: 55 | Reward: 26.0 | Polciy Loss: 0.6817989349365234 | Steps: 1168
Episode: 56 | Reward: 11.0 | Polciy Loss: 0.6838548183441162 | Steps: 1179
Episode: 57 | Reward: 20.0 | Polciy Loss: 0.6800510883331299 | Steps: 1199
Episode: 58 | Reward: 21.0 | Polciy Loss: 0.679720401763916 | Steps: 1220
Episode: 59 | Reward: 12.0 | Polciy Loss: 0.6844394207000732 | Steps: 1232
Episode: 60 | Reward: 11.0 | Polciy Loss: 0.6895262598991394 | Steps: 1243
