/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 27.0 | Polciy Loss: 0.69386887550354 | Steps: 27
Episode: 2 | Reward: 13.0 | Polciy Loss: 0.6928104758262634 | Steps: 40
Episode: 3 | Reward: 36.0 | Polciy Loss: 0.6919274926185608 | Steps: 76
Episode: 4 | Reward: 35.0 | Polciy Loss: 0.6921515464782715 | Steps: 111
Episode: 5 | Reward: 15.0 | Polciy Loss: 0.6915839910507202 | Steps: 126
Episode: 6 | Reward: 22.0 | Polciy Loss: 0.6915593147277832 | Steps: 148
Episode: 7 | Reward: 23.0 | Polciy Loss: 0.691760778427124 | Steps: 171
Episode: 8 | Reward: 15.0 | Polciy Loss: 0.6927813291549683 | Steps: 186
Episode: 9 | Reward: 20.0 | Polciy Loss: 0.692462146282196 | Steps: 206
Episode: 10 | Reward: 13.0 | Polciy Loss: 0.6916347742080688 | Steps: 219
Episode: 11 | Reward: 18.0 | Polciy Loss: 0.6916689872741699 | Steps: 237
Episode: 12 | Reward: 12.0 | Polciy Loss: 0.6910914182662964 | Steps: 249
Episode: 13 | Reward: 15.0 | Polciy Loss: 0.6918140649795532 | Steps: 264
Episode: 14 | Reward: 9.0 | Polciy Loss: 0.6917420625686646 | Steps: 273
Episode: 15 | Reward: 16.0 | Polciy Loss: 0.6907938718795776 | Steps: 289
Episode: 16 | Reward: 42.0 | Polciy Loss: 0.6909914016723633 | Steps: 331
Episode: 17 | Reward: 15.0 | Polciy Loss: 0.6900337338447571 | Steps: 346
Episode: 18 | Reward: 26.0 | Polciy Loss: 0.6900089979171753 | Steps: 372
Episode: 19 | Reward: 11.0 | Polciy Loss: 0.6922293901443481 | Steps: 383
Episode: 20 | Reward: 15.0 | Polciy Loss: 0.6876944303512573 | Steps: 398
Episode: 21 | Reward: 14.0 | Polciy Loss: 0.6914524435997009 | Steps: 412
Episode: 22 | Reward: 12.0 | Polciy Loss: 0.6908071041107178 | Steps: 424
Episode: 23 | Reward: 32.0 | Polciy Loss: 0.6900254487991333 | Steps: 456
Episode: 24 | Reward: 14.0 | Polciy Loss: 0.6883965730667114 | Steps: 470
Episode: 25 | Reward: 34.0 | Polciy Loss: 0.6879740953445435 | Steps: 504
Episode: 26 | Reward: 20.0 | Polciy Loss: 0.6893593072891235 | Steps: 524
Episode: 27 | Reward: 12.0 | Polciy Loss: 0.6889783143997192 | Steps: 536
Episode: 28 | Reward: 19.0 | Polciy Loss: 0.6905529499053955 | Steps: 555
Episode: 29 | Reward: 12.0 | Polciy Loss: 0.6887326240539551 | Steps: 567
Episode: 30 | Reward: 14.0 | Polciy Loss: 0.6882410049438477 | Steps: 581
Episode: 31 | Reward: 23.0 | Polciy Loss: 0.6904721856117249 | Steps: 604
Episode: 32 | Reward: 16.0 | Polciy Loss: 0.6894488334655762 | Steps: 620
Episode: 33 | Reward: 17.0 | Polciy Loss: 0.6844947338104248 | Steps: 637
Episode: 34 | Reward: 26.0 | Polciy Loss: 0.6848196983337402 | Steps: 663
Episode: 35 | Reward: 13.0 | Polciy Loss: 0.6929715871810913 | Steps: 676
Episode: 36 | Reward: 11.0 | Polciy Loss: 0.6870614290237427 | Steps: 687
Episode: 37 | Reward: 16.0 | Polciy Loss: 0.6875690817832947 | Steps: 703
