/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 27.0 | Polciy Loss: 0.6959899067878723 | Steps: 27
Episode: 2 | Reward: 13.0 | Polciy Loss: 0.694850504398346 | Steps: 40
Episode: 3 | Reward: 36.0 | Polciy Loss: 0.6935853362083435 | Steps: 76
Episode: 4 | Reward: 35.0 | Polciy Loss: 0.6930530071258545 | Steps: 111
Episode: 5 | Reward: 15.0 | Polciy Loss: 0.6930281519889832 | Steps: 126
Episode: 6 | Reward: 22.0 | Polciy Loss: 0.6929528713226318 | Steps: 148
Episode: 7 | Reward: 23.0 | Polciy Loss: 0.6925638914108276 | Steps: 171
Episode: 8 | Reward: 15.0 | Polciy Loss: 0.6942630410194397 | Steps: 186
Episode: 9 | Reward: 20.0 | Polciy Loss: 0.6932685375213623 | Steps: 206
Episode: 10 | Reward: 13.0 | Polciy Loss: 0.6925010085105896 | Steps: 219
Episode: 11 | Reward: 18.0 | Polciy Loss: 0.6922211647033691 | Steps: 237
Episode: 12 | Reward: 12.0 | Polciy Loss: 0.6919914484024048 | Steps: 249
Episode: 13 | Reward: 15.0 | Polciy Loss: 0.6934351921081543 | Steps: 264
Episode: 14 | Reward: 9.0 | Polciy Loss: 0.6938208341598511 | Steps: 273
Episode: 15 | Reward: 16.0 | Polciy Loss: 0.6926359534263611 | Steps: 289
Episode: 16 | Reward: 42.0 | Polciy Loss: 0.6908426880836487 | Steps: 331
Episode: 17 | Reward: 15.0 | Polciy Loss: 0.6956114768981934 | Steps: 346
Episode: 18 | Reward: 26.0 | Polciy Loss: 0.6934103965759277 | Steps: 372
Episode: 19 | Reward: 11.0 | Polciy Loss: 0.6931660175323486 | Steps: 383
Episode: 20 | Reward: 15.0 | Polciy Loss: 0.6931260824203491 | Steps: 398
Episode: 21 | Reward: 14.0 | Polciy Loss: 0.693418562412262 | Steps: 412
Episode: 22 | Reward: 12.0 | Polciy Loss: 0.6924000382423401 | Steps: 424
Episode: 23 | Reward: 32.0 | Polciy Loss: 0.6934845447540283 | Steps: 456
Episode: 24 | Reward: 14.0 | Polciy Loss: 0.6935151219367981 | Steps: 470
Episode: 25 | Reward: 28.0 | Polciy Loss: 0.6981297135353088 | Steps: 498
Episode: 26 | Reward: 21.0 | Polciy Loss: 0.6923931241035461 | Steps: 519
Episode: 27 | Reward: 54.0 | Polciy Loss: 0.6953972578048706 | Steps: 573
Episode: 28 | Reward: 20.0 | Polciy Loss: 0.6917657256126404 | Steps: 593
Episode: 29 | Reward: 25.0 | Polciy Loss: 0.6965048313140869 | Steps: 618
Episode: 30 | Reward: 32.0 | Polciy Loss: 0.6950324773788452 | Steps: 650
