/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 1 | Reward: 17.0 | Polciy Loss: 0.6963363885879517 | Steps: 17
Episode: 2 | Reward: 19.0 | Polciy Loss: 0.696560800075531 | Steps: 36
Episode: 3 | Reward: 15.0 | Polciy Loss: 0.6917608976364136 | Steps: 51
Episode: 4 | Reward: 10.0 | Polciy Loss: 0.6909259557723999 | Steps: 61
Episode: 5 | Reward: 18.0 | Polciy Loss: 0.6921781301498413 | Steps: 79
Episode: 6 | Reward: 28.0 | Polciy Loss: 0.6924303770065308 | Steps: 107
Episode: 7 | Reward: 10.0 | Polciy Loss: 0.6921708583831787 | Steps: 117
Episode: 8 | Reward: 15.0 | Polciy Loss: 0.692673921585083 | Steps: 132
Episode: 9 | Reward: 69.0 | Polciy Loss: 0.6925022602081299 | Steps: 201
Episode: 10 | Reward: 10.0 | Polciy Loss: 0.6922752857208252 | Steps: 211
Episode: 11 | Reward: 21.0 | Polciy Loss: 0.6987327337265015 | Steps: 232
Episode: 12 | Reward: 13.0 | Polciy Loss: 0.6931143403053284 | Steps: 245
Episode: 13 | Reward: 13.0 | Polciy Loss: 0.6923011541366577 | Steps: 258
Episode: 14 | Reward: 17.0 | Polciy Loss: 0.6920835971832275 | Steps: 275
Episode: 15 | Reward: 19.0 | Polciy Loss: 0.6908924579620361 | Steps: 294
Episode: 16 | Reward: 33.0 | Polciy Loss: 0.6911752223968506 | Steps: 327
Episode: 17 | Reward: 17.0 | Polciy Loss: 0.694860577583313 | Steps: 344
Episode: 18 | Reward: 21.0 | Polciy Loss: 0.689845085144043 | Steps: 365
Episode: 19 | Reward: 24.0 | Polciy Loss: 0.6910169124603271 | Steps: 389
Episode: 20 | Reward: 13.0 | Polciy Loss: 0.6938458681106567 | Steps: 402
Episode: 21 | Reward: 11.0 | Polciy Loss: 0.6914935111999512 | Steps: 413
Episode: 22 | Reward: 14.0 | Polciy Loss: 0.6916806697845459 | Steps: 427
Episode: 23 | Reward: 50.0 | Polciy Loss: 0.6892637014389038 | Steps: 477
Episode: 24 | Reward: 17.0 | Polciy Loss: 0.6931431293487549 | Steps: 494
Episode: 25 | Reward: 17.0 | Polciy Loss: 0.6907398700714111 | Steps: 511
Episode: 26 | Reward: 12.0 | Polciy Loss: 0.6904375553131104 | Steps: 523
Episode: 27 | Reward: 15.0 | Polciy Loss: 0.6930058598518372 | Steps: 538
Episode: 28 | Reward: 14.0 | Polciy Loss: 0.6911534070968628 | Steps: 552
Episode: 29 | Reward: 55.0 | Polciy Loss: 0.6892303228378296 | Steps: 607
Episode: 30 | Reward: 29.0 | Polciy Loss: 0.6921818256378174 | Steps: 636
Episode: 31 | Reward: 28.0 | Polciy Loss: 0.691231369972229 | Steps: 664
Episode: 32 | Reward: 11.0 | Polciy Loss: 0.6936520934104919 | Steps: 675
Episode: 33 | Reward: 9.0 | Polciy Loss: 0.6861168146133423 | Steps: 684
Episode: 34 | Reward: 21.0 | Polciy Loss: 0.68739914894104 | Steps: 705
Episode: 35 | Reward: 36.0 | Polciy Loss: 0.6920300722122192 | Steps: 741
Episode: 36 | Reward: 17.0 | Polciy Loss: 0.6890637874603271 | Steps: 758
Episode: 37 | Reward: 16.0 | Polciy Loss: 0.6898274421691895 | Steps: 774
Episode: 38 | Reward: 15.0 | Polciy Loss: 0.6898214221000671 | Steps: 789
Episode: 39 | Reward: 22.0 | Polciy Loss: 0.6924526691436768 | Steps: 811
Episode: 40 | Reward: 11.0 | Polciy Loss: 0.6887956261634827 | Steps: 822
Episode: 41 | Reward: 22.0 | Polciy Loss: 0.6898616552352905 | Steps: 844
Episode: 42 | Reward: 22.0 | Polciy Loss: 0.6921225786209106 | Steps: 866
Episode: 43 | Reward: 10.0 | Polciy Loss: 0.690667986869812 | Steps: 876
Episode: 44 | Reward: 23.0 | Polciy Loss: 0.6811455488204956 | Steps: 899
Episode: 45 | Reward: 16.0 | Polciy Loss: 0.6867475509643555 | Steps: 915
Episode: 46 | Reward: 28.0 | Polciy Loss: 0.6906580924987793 | Steps: 943
